Date Heure, GMT+01:00	T B110	T B111	T B113	Trepro	T B103	Tescatt	TB102	Tvest	Tinf	TB105	TB104	Tacceuil
11/02/2015 17:56	21.437	23.160	24.291	21.915	20.984	21.485	21.772	23.593	20.555	23.232	21.772	22.465
11/02/2015 18:01	21.437	23.136	24.267	21.915	20.960	21.461	21.724	23.593	20.555	23.232	21.772	22.441
11/02/2015 18:06	21.413	23.136	24.267	21.915	20.984	21.485	21.700	23.617	20.579	23.232	21.748	22.441
11/02/2015 18:11	21.390	23.184	24.219	21.939	21.008	21.509	21.700	23.689	20.555	23.304	21.724	22.417
11/02/2015 18:16	21.366	23.256	24.195	21.939	21.032	21.533	21.676	23.930	20.555	23.617	21.700	22.441
11/02/2015 18:21	21.318	23.521	24.195	21.963	21.056	21.604	21.676	24.291	20.579	24.026	21.700	22.537
11/02/2015 18:26	21.318	23.833	24.195	21.963	21.103	21.652	21.676	24.629	20.627	24.363	21.700	22.681
11/02/2015 18:31	21.270	24.098	24.219	21.987	21.127	21.676	21.676	24.774	20.674	24.484	21.700	22.824
11/02/2015 18:36	21.246	24.195	24.267	21.987	21.175	21.700	21.676	24.774	20.722	24.460	21.700	22.824
11/02/2015 18:41	21.223	24.171	24.291	22.011	21.199	21.676	21.652	24.702	20.770	24.363	21.676	22.824
11/02/2015 18:46	21.199	24.122	24.291	22.011	21.175	21.676	21.628	24.605	20.793	24.267	21.676	22.753
11/02/2015 18:51	21.175	24.026	24.243	22.011	21.127	21.652	21.604	24.532	20.817	24.146	21.676	22.705
11/02/2015 18:56	21.151	23.930	24.195	22.011	21.127	21.652	21.581	24.460	20.841	24.074	21.676	22.633
11/02/2015 19:01	21.127	23.857	24.171	22.011	21.103	21.628	21.557	24.412	20.865	24.002	21.652	22.561
11/02/2015 19:06	21.103	23.809	24.122	22.034	21.056	21.628	21.509	24.388	20.841	23.978	21.628	22.537
11/02/2015 19:11	21.103	23.761	24.098	22.011	21.032	21.604	21.509	24.388	20.817	23.954	21.628	22.489
11/02/2015 19:16	21.079	23.737	24.050	22.034	21.008	21.604	21.485	24.363	20.793	23.930	21.628	22.465
11/02/2015 19:21	21.056	23.737	24.002	22.034	20.984	21.604	21.461	24.363	20.770	23.905	21.604	22.441
11/02/2015 19:26	21.032	23.713	23.978	22.034	20.960	21.581	21.461	24.339	20.722	23.905	21.604	22.417
11/02/2015 19:31	21.008	23.689	23.954	22.034	20.936	21.581	21.413	24.339	20.698	23.881	21.604	22.393
11/02/2015 19:36	21.008	23.689	23.930	22.034	20.936	21.581	21.413	24.339	20.674	23.881	21.581	22.369
11/02/2015 19:41	20.984	23.665	23.905	22.034	20.936	21.557	21.390	24.315	20.650	23.857	21.581	22.345
11/02/2015 19:46	20.960	23.665	23.905	22.034	20.936	21.533	21.366	24.315	20.627	23.857	21.557	22.321
11/02/2015 19:51	20.936	23.641	23.881	22.034	20.936	21.533	21.366	24.315	20.603	23.833	21.557	22.298
