	MatD230	EM160b	MG230	MatD160	FD90	MatG230	FD160	MatG160	EG160b	MatG90	MatG20	FD20	ED160b	ME160	FD230	MatD90	EG230	EG160	EG90	EG20	EM230	EM160	EM90	EM20	ED230	ED160	ED90	ED20
16/12/2014 14:25	21.724	22.106	23.328	21.581	21.127	21.939	21.700	21.604	21.724	21.461	20.603	20.841		21.270	22.489		22.274	22.968	21.079	20.722	21.652	21.676	22.178	20.031	22.681	21.175	20.865	19.103
16/12/2014 14:30	21.748	22.441	23.088	21.604	20.889	21.987	21.509	21.628	21.843	21.485	20.627	20.150		21.223	21.915		22.321	23.016	21.127	20.746	21.676	21.652	22.226	20.031	22.729	21.223	20.889	19.127
16/12/2014 14:35	21.772	22.154	22.920	21.604	20.722	21.987	21.413	21.628	22.657	21.509	20.650	19.770		21.223	21.581		22.321	23.016	21.151	20.793	21.676	21.676	22.250	20.031	22.705	21.199	20.865	19.127
16/12/2014 14:40	21.748	21.915	22.824	21.604	20.627	21.987	21.342	21.628	22.321	21.509	20.650	19.555		21.175	21.413		22.321	23.016	21.151	20.770	21.676	21.676	22.226	20.031	22.681	21.199	20.889	19.151
16/12/2014 14:45	21.724	21.795	22.753	21.604	20.555	21.987	21.318	21.604	22.058	21.509	20.674	19.365		21.175	21.318		22.298	22.992	21.151	20.770	21.676	21.676	22.274	20.055	22.705	21.199	20.889	19.151
16/12/2014 14:50	21.748	21.748	22.753	21.628	20.531	21.987	21.270	21.604	21.867	21.485	20.650	19.270		21.151	21.223		22.298	23.328	21.175	20.817	21.700	21.700	22.250	20.055	22.705	21.223	20.936	19.151
16/12/2014 14:55	21.748	21.700	22.729	21.604	20.484	21.987	21.246	21.604	21.819	21.509	20.650	19.222		21.151	21.151		22.274	23.160	21.199	20.841	21.700	21.724	22.250	20.055	22.729	21.223	20.936	19.127
16/12/2014 15:00	21.724	21.676	22.729	21.581	20.460	21.987	21.223	21.557	21.748	21.485	20.650	19.151		21.127	21.127		22.274	23.088	21.175	20.817	21.676	21.724	22.226	20.055	22.729	21.199	20.913	19.151
16/12/2014 15:05	21.700	21.652	22.705	21.557	20.412	21.963	21.199	21.533	21.676	21.437	20.650	19.103		21.103	21.103		22.274	23.040	21.151	20.793	21.676	21.700	22.226	20.055	22.705	21.199	20.913	19.151
16/12/2014 15:10	21.724	21.652	22.705	21.557	20.412	21.987	21.175	21.581	21.628	21.437	20.627	19.056		21.103	21.056		22.274	23.040	21.151	20.793	21.676	21.748	22.226	20.055	22.705	21.199	20.936	19.151
16/12/2014 15:15	21.724	21.628	22.705	21.604	20.436	21.987	21.199	21.628	21.604	21.461	20.627	19.032		21.127	21.032		22.298	23.064	21.175	20.817	21.700	21.724	22.274	20.079	22.729	21.246	20.936	19.199
16/12/2014 15:20	21.772	21.652	22.729	21.652	20.460	22.011	21.223	21.652	21.604	21.485	20.650	19.080		21.151	21.032		22.321	23.064	21.199	20.841	21.724	21.700	22.274	20.055	22.753	21.246	20.960	19.175
16/12/2014 15:25	21.795	21.652	22.729	21.652	20.460	22.011	21.223	21.628	21.604	21.509	20.650	19.127		21.175	21.056		22.298	23.064	21.199	20.841	21.724	21.676	22.250	20.055	22.753	21.246	20.960	19.175
16/12/2014 15:30	21.795	21.652	22.729	21.652	20.460	22.011	21.223	21.628	21.604	21.485	20.650	19.103		21.175	21.032		22.298	23.040	21.199	20.817	21.748	21.700	22.250	20.055	22.753	21.246	20.960	19.151
16/12/2014 15:35	21.795	21.676	22.753	21.652	20.484	22.034	21.246	21.628	21.604	21.485	20.650	19.080		21.175	21.032		22.345	23.088	21.199	20.841	21.772	21.700	22.369	20.079	22.753	21.270	20.960	19.199
16/12/2014 15:40	21.819	21.700	22.753	21.676	20.484	22.058	21.246	21.676	21.604	21.509	20.674	19.127		21.175	21.032		22.321	23.088	21.246	20.889	21.795	21.700	22.369	20.079	22.776	21.294	20.984	19.270
16/12/2014 15:45	21.843	21.700	22.776	21.700	20.531	22.106	21.294	21.748	21.628	21.557	20.722	19.175		21.199	21.056		22.393	23.136	21.270	20.889	21.819	21.748	22.345	20.079	22.824	21.294	20.984	19.270
16/12/2014 15:50	21.891	21.724	22.776	21.748	20.555	22.154	21.318	21.819	21.652	21.628	20.746	19.222		21.223	21.079		22.417	23.160	21.270	20.913	21.867	21.795	22.417	20.103	22.848	21.342	21.032	19.294
16/12/2014 15:55	21.915	21.795	22.824	21.795	20.579	22.202	21.366	21.867	21.676	21.700	20.770	19.294		21.270	21.103		22.465	23.232	21.294	20.913	21.915	21.795	22.441	20.079	22.872	21.366	21.032	19.318
16/12/2014 16:00	21.963	21.795	22.848	21.819	20.603	22.274	21.390	21.891	21.891	21.772	20.793	19.318		21.270	21.103		22.537	23.352	21.390	20.936	21.939	21.772	22.465	20.079	22.896	21.390	21.032	19.270
16/12/2014 16:05	21.987	21.795	22.920	21.819	20.674	22.298	21.437	21.939	21.891	21.819	20.793	19.318		21.270	21.175		22.537	23.328	21.390	20.936	21.939	21.819	22.441	20.079	22.944	21.413	21.079	19.294
16/12/2014 16:10	22.011	21.795	22.944	21.867	20.746	22.345	21.485	21.987	21.891	21.867	20.793	19.365		21.366	21.270		22.537	23.304	21.390	20.936	21.963	21.939	22.417	20.079	22.968	21.509	21.127	19.413
16/12/2014 16:15	22.034	21.987	22.968	21.891	20.746	22.441	21.509	22.130	21.867	21.891	20.841	19.413		21.390	21.270		22.561	23.328	21.413	20.960	21.987	21.915	22.417	20.103	22.968	21.461	21.127	19.389
16/12/2014 16:20	22.154	21.987	22.992	21.963	20.746	22.465	21.509	22.106	21.867	22.034	20.984	19.413		21.413	21.270		22.585	23.328	21.437	20.960	22.011	21.891	22.441	20.079	22.968	21.485	21.127	19.389
16/12/2014 16:25	22.154	21.939	22.992	22.058	20.746	22.441	21.533	22.082	21.867	22.011	20.960	19.413		21.413	21.270		22.585	23.328	21.461	20.960	22.034	21.891	22.465	20.103	22.992	21.485	21.151	19.365
16/12/2014 16:30	22.130	21.915	23.016	22.082	20.770	22.417	21.557	22.082	21.867	21.987	20.936	19.413		21.413	21.294		22.609	23.352	21.461	20.960	22.058	21.891	22.465	20.103	23.016	21.509	21.151	19.365
16/12/2014 16:35	22.130	21.915	23.016	22.082	20.770	22.441	21.557	22.058	21.891	21.987	20.936	19.389		21.413	21.294		22.609	23.352	21.461	20.960	22.082	21.915	22.465	20.103	23.016	21.509	21.127	19.318
16/12/2014 16:40	22.130	21.963	23.016	22.082	20.722	22.417	21.509	22.058	21.891	21.939	20.889	19.341		21.413	21.318		22.585	23.328	21.413	20.960	22.058	21.939	22.465	20.126	23.016	21.485	21.127	19.318
16/12/2014 16:45	22.106	21.939	23.016	22.011	20.698	22.393	21.485	21.987	21.867	21.891	20.865	19.246		21.413	21.318		22.561	23.304	21.413	20.936	22.034	21.915	22.441	20.126	22.968	21.461	21.103	19.318
16/12/2014 16:50	22.058	21.891	22.992	21.891	20.650	22.321	21.437	21.891	21.843	21.843	20.841	19.199		21.390	21.294		22.537	23.280	21.366	20.913	21.963	21.867	22.417	20.150	22.920	21.413	21.079	19.270
16/12/2014 16:55	21.963	21.867	22.968	21.795	20.603	22.250	21.390	21.795	21.819	21.748	20.793	19.151		21.366	21.246		22.513	23.256	21.318	20.913	21.891	21.819	22.369	20.150	22.896	21.390	21.056	19.246
16/12/2014 17:00	21.891	21.819	22.920	21.700	20.555	22.178	21.342	21.700	21.795	21.652	20.746	19.080		21.318	21.199		22.465	23.208	21.318	20.889	21.867	21.748	22.369	20.150	22.848	21.366	21.056	19.246
