"N"	"Departement"	"Usage de Batiment"	"Annee de Construction"	"Materiau Principal"	"Q4Pa_surf(m^3/h*m^2)"
"759"	18286	"Haute-Garonne"	"Bureaux"	2011	"Bois"	0.476
"761"	18291	"Gers"	"Bureaux"	2012	"Beton"	0.980247004
"762"	18361	"Haute-Garonne"	"Bureaux"	2012	"Terre cuite"	0.466033341
"768"	18405	"Eure"	"Bureaux"	2012	"Beton"	1.134267191
"769"	18406	"Hauts-de-Seine"	"Bureaux"	2012	"Beton"	0.796909264
"771"	18452	"Non precise"	"Industrie"	2012	"Bois"	1.23
"772"	18465	"Non precise"	"Bureaux"	2012	"Bois"	1.55
"775"	18676	"Loiret"	"Bureaux"	2010	"Mixte Acier-Beton"	2
"779"	18697	"Loire-Atlantique"	"Bureaux"	2010	"Beton"	0.62
"780"	18698	"Loire-Atlantique"	"Bureaux"	2010	"Beton"	1.15
"781"	18705	"Hauts-de-Seine"	"Bureaux"	2011	"Beton"	0.559
"786"	18796	"Loire-Atlantique"	"Bureaux"	2011	"Beton"	1.593804
"787"	18866	"Loiret"	"Bureaux"	2012	"Bois"	0.68636
"790"	19203	"Non precise"	"Enseignement"	2012	"Beton"	0.7
"791"	19207	"Val-Doise"	"Bureaux"	2012	"Beton"	2.4
"793"	19266	"Loire"	"Enseignement"	2011	"Beton"	1.05
"796"	19288	"Loire"	"Enseignement"	2011	"Bois"	9.11
"797"	19293	"Loire"	"Enseignement"	2011	"Bois"	0.57
"802"	19332	"Loire"	"Enseignement"	2012	"Mixte Beton-Bois"	0.58
"803"	19342	"Isere"	"Enseignement"	2012	"Beton"	0.27
"804"	19343	"Rhone"	"Etablissement sanitaire"	2012	"Beton"	0.83
"807"	19974	"Loire"	"Bureaux"	2012	"Beton"	0.62
"808"	19975	"Loire"	"Bureaux"	2012	"Beton"	1.51
"809"	19976	"Loire"	"Bureaux"	2012	"Beton"	1.35
"811"	20144	"Aisne"	"Bureaux"	2012	"Beton"	0.577770479
"812"	20147	"Meuse"	"Restaurant"	2012	"Beton"	0.972267112
"813"	20153	"Non precise"	"Industrie"	2012	"Autre"	0.427
"814"	20165	"Non precise"	"Bureaux"	2012	"Beton"	1.831
"815"	20178	"Sarthe"	"Enseignement"	2012	"Bois"	0.495
"816"	20482	"Jura"	"Etablissement sanitaire"	2011	"Bois"	0.99
"817"	20504	"Doubs"	"Bureaux"	2012	"Beton"	1.08
"818"	20505	"Doubs"	"Locaux sportifs"	2012	"Beton"	1.54
"819"	20506	"Doubs"	"Bureaux"	2012	"Beton"	1.22
"820"	20507	"Doubs"	"Bureaux"	2012	"Beton"	2.09
"821"	20512	"Doubs"	"Etablissement sanitaire"	2012	"Brique"	0.38
"822"	20514	"Doubs"	"Salle polyvalente"	2012	"Beton"	0.94
"823"	20539	"Doubs"	"Salle polyvalente"	2012	"Beton"	0.98
"824"	20568	"Doubs"	"Etablissement sanitaire"	2012	"Brique"	0.36
"826"	20641	"Doubs"	"Bureaux"	2012	"Beton"	20.94
"828"	20656	"Doubs"	"Etablissement sanitaire"	2012	"Bois"	1.94
"829"	20661	"Jura"	"Industrie"	2012	"Beton"	1.03
"831"	20700	"Non precise"	"Enseignement"	2012	"Beton"	2.21
"832"	20717	"Non precise"	"Bureaux"	2011	"Beton"	0.77
"833"	20726	"Non precise"	"Enseignement"	2012	"Beton"	0.29
"834"	20730	"Non precise"	"Enseignement"	2012	"Beton"	0.61
"835"	20734	"Non precise"	"Bureaux"	2012	"Beton"	0.57
"836"	20752	"Non precise"	"Enseignement"	2012	"Beton"	0.43
"837"	20753	"Non precise"	"Enseignement"	2012	"Beton"	0.76
"838"	20769	"Non precise"	"Enseignement"	2012	"Beton"	1.41
"839"	20778	"Vendee"	"Enseignement"	2012	"Beton"	0.69
"840"	20779	"Vendee"	"Enseignement"	2012	"Beton"	0.99
"841"	20793	"Non precise"	"Enseignement"	2012	"Beton"	0.2
"844"	20807	"Non precise"	"Bureaux"	2012	"Beton"	0.99
"845"	20816	"Non precise"	"Restaurant"	2012	"Beton"	1.09
"846"	20817	"Non precise"	"Enseignement"	2012	"Beton"	0.33
"847"	20821	"Vendee"	"Bureaux"	2012	"Bois"	0.966
"848"	20832	"Vendee"	"Enseignement"	2013	"Beton"	0.55
"849"	20847	"Vendee"	"Enseignement"	2013	"Beton"	0.51
"851"	20915	"Mayenne"	"Bureaux"	2012	"Beton"	1.44
"852"	20916	"Mayenne"	"Bureaux"	2012	"Beton"	0.91
"854"	21026	"Non precise"	"Bureaux"	2012	"Beton"	1.05
"855"	21027	"Non precise"	"Bureaux"	2012	"Beton"	0.44
"857"	21194	"Loire"	"Enseignement"	2011	"Mixte Beton-Bois"	0.668
"859"	21285	"Finistere"	"Bureaux"	2011	"Bois"	0.836
"861"	21293	"Finistere"	"Restaurant"	2011	"Bois"	0.71
"863"	21300	"Finistere"	"Bureaux"	2012	"Beton"	0.96
"866"	21314	"Finistere"	"Locaux sportifs"	2012	"Beton"	1.096
"869"	21322	"Finistere"	"Etablissement sanitaire"	2012	"Bois"	1.709
"872"	21395	"Manche"	"Salle polyvalente"	2013	"Mixte Beton-Bois"	0.632
"876"	21452	"Loir-et-Cher"	"Enseignement"	2012	"Bois"	0.916335
"879"	21537	"Loiret"	"Bureaux"	2012	"Bois"	1.134634
"880"	21945	"Maine-et-Loire"	"Enseignement"	2012	"Brique"	1.117016
"882"	22189	"Isere"	"Bureaux"	2012	"Mixte Acier-Beton"	2.57
"883"	22352	"Non precise"	"Enseignement"	2011	"Beton"	3.78
"884"	22353	"Non precise"	"Enseignement"	2011	"Beton"	1.13
"885"	22354	"Non precise"	"Enseignement"	2011	"Beton"	1
"886"	22379	"Non precise"	"Bureaux"	2011	"Terre cuite"	0.71
"887"	22489	"Corse"	"Bureaux"	2012	"Beton"	1.125
"888"	22493	"Bas-Rhin"	"Enseignement"	2012	"Beton"	0.423
"889"	22508	"Bas-Rhin"	"Locaux sportifs"	2012	"Beton"	0.338
"890"	22516	"Bas-Rhin"	"Enseignement"	2012	"Autre"	0.548
"891"	22605	"Nord"	"Etablissement sanitaire"	2012	"Beton"	1.618831783
"892"	22606	"Nord"	"Etablissement sanitaire"	2012	"Beton"	1.853629103
"893"	22607	"Nord"	"Etablissement sanitaire"	2012	"Beton"	0.827500247
"894"	22608	"Nord"	"Etablissement sanitaire"	2012	"Beton"	0.450424554
"897"	22755	"Calvados"	"Commerce"	2012	"Acier"	1.85
"898"	22768	"Loire-Atlantique"	"Enseignement"	2012	"Bois"	1.39
"899"	22769	"Loire-Atlantique"	"Enseignement"	2012	"Bois"	1.63
"900"	22771	"Loire-Atlantique"	"Enseignement"	2012	"Bois"	0.84
"902"	22854	"Non precise"	"Bureaux"	2012	"Brique"	0.7
"905"	22993	"Bas-Rhin"	"Enseignement"	2012	"Pierre"	2.172711463
"906"	22994	"Bas-Rhin"	"Enseignement"	2012	"Bois"	0.072452466
"907"	22996	"Bas-Rhin"	"Enseignement"	2012	"Pierre"	0.789052458
"910"	23013	"Bas-Rhin"	"Locaux sportifs"	2012	"Mixte Acier-Beton"	0.587556859
"911"	23014	"Bas-Rhin"	"Enseignement"	2012	"Bois"	1.093014105
"913"	23026	"Bas-Rhin"	"Hotel"	2012	"Beton"	1.133678781
"914"	23027	"Moselle"	"Bureaux"	2012	"Bois"	0.606528516
"916"	23032	"Bas-Rhin"	"Enseignement"	2012	"Beton"	1.169689976
"920"	23045	"Bas-Rhin"	"Locaux sportifs"	2012	"Mixte Beton-Bois"	0.691786269
"926"	23083	"Bas-Rhin"	"Locaux sportifs"	2012	"Beton"	0.906855643
"927"	23208	"Bouches-du-Rhone"	"Bureaux"	2010	"Beton"	4.92
"928"	23209	"Bouches-du-Rhone"	"Bureaux"	2010	"Beton"	3.15
"929"	23429	"Non precise"	"Bureaux"	2011	"Beton cellulaire"	1.384534102
"930"	23447	"Non precise"	"Etablissement sanitaire"	2012	"Brique"	1.065296749
"931"	23448	"Non precise"	"Etablissement sanitaire"	2012	"Brique"	0.770457287
"932"	23449	"Non precise"	"Etablissement sanitaire"	2012	"Brique"	0.577763794
"933"	23462	"Cher"	"Bureaux"	2012	"Bois"	0.61
"935"	23606	"Non precise"	"Bureaux"	2012	"Beton"	0.421
"936"	23610	"Non precise"	"Etablissement sanitaire"	2012	"Beton"	0.988
"941"	23698	"Non precise"	"Locaux sportifs"	2011	"Brique"	6.37429456
"944"	23727	"Non precise"	"Salle polyvalente"	2011	"Bois"	1.92261541
"951"	23875	"Non precise"	"Restaurant"	2012	"Beton"	1.054770921
"952"	23876	"Non precise"	"Enseignement"	2013	"Bois"	0.502519583
"955"	23944	"Marne"	"Bureaux"	2012	"Acier"	0.149
"959"	23991	"Nord"	"Bureaux"	2012	"Beton"	0.717
"960"	24007	"Nord"	"Bureaux"	2012	"Beton"	0.713
"963"	24026	"Loire-Atlantique"	"Salle polyvalente"	2012	"Beton"	0.750592
"967"	24729	"Maine-et-Loire"	"Bureaux"	2011	"Beton"	1.37
"968"	24731	"Loire-Atlantique"	"Enseignement"	2012	"Acier"	1.24
"971"	24748	"Non precise"	"Restaurant"	2012	"Beton"	2.4
"972"	24749	"Non precise"	"Restaurant"	2012	"Beton"	2.7
"973"	24750	"Non precise"	"Restaurant"	2012	"Beton"	2.6
"978"	24979	"Marne"	"Bureaux"	2012	"Beton"	0.568
"979"	24980	"Marne"	"Bureaux"	2012	"Beton"	0.499
"981"	25000	"Nord"	"Bureaux"	2012	"Bois"	0.39
"982"	25005	"Non precise"	"Bureaux"	2012	"Acier"	1.024
"984"	25025	"Pas-de-Calais"	"Bureaux"	2012	"Bois"	0.357
"992"	25785	"Aude"	"Bureaux"	2012	"Bois"	1.789879993
"993"	26047	"Herault"	"Enseignement"	2011	"Brique"	2.588614173
"994"	26048	"Herault"	"Enseignement"	2011	"Brique"	3.905883343
"995"	26049	"Herault"	"Enseignement"	2011	"Brique"	2.68509319
"996"	26050	"Herault"	"Enseignement"	2011	"Brique"	2.923799611
"1003"	26335	"Non precise"	"Enseignement"	2011	"Bois"	0.54
"1004"	26336	"Non precise"	"Enseignement"	2011	"Bois"	0.91
"1005"	26337	"Non precise"	"Enseignement"	2011	"Bois"	2.16
"1006"	26342	"Non precise"	"Enseignement"	2011	"Beton"	2.99
"1007"	26343	"Non precise"	"Enseignement"	2011	"Beton"	2.29
"1010"	26674	"Non precise"	"Etablissement sanitaire"	2012	"Beton"	1.372364523
"1011"	26675	"Non precise"	"Etablissement sanitaire"	2012	"Beton"	1.619222621
"1013"	26727	"Non precise"	"Bureaux"	2012	"Beton"	0.784135164
"1015"	26796	"Orne"	"Etablissement sanitaire"	2011	"Bois"	1.18
"1017"	26949	"Oise"	"Enseignement"	2011	"Beton"	3.4
"1018"	26950	"Oise"	"Enseignement"	2011	"Beton"	3
"1019"	26951	"Oise"	"Enseignement"	2011	"Beton"	3.6
"1020"	26963	"Pas-de-Calais"	"Bureaux"	2012	"Beton"	1.12
"1022"	26991	"Somme"	"Restaurant"	2012	"Acier"	1.46
"1023"	26994	"Somme"	"Bureaux"	2012	"Acier"	0.77
"1026"	27003	"Somme"	"Commerce"	2012	"Bois"	1.38
"1027"	27004	"Nord"	"Bureaux"	2012	"Acier"	12.76
"1028"	27005	"Nord"	"Bureaux"	2012	"Acier"	19.68
"1029"	27012	"Somme"	"Bureaux"	2012	"Autre"	0.53
"1030"	27021	"Val-Doise"	"Restaurant"	2012	"Beton"	0.61
"1032"	27061	"Aisne"	"Restaurant"	2012	"Beton"	2.55
"1033"	27062	"Aisne"	"Enseignement"	2012	"Beton"	1.12
"1034"	27063	"Aisne"	"Restaurant"	2012	"Beton"	1.17
"1035"	27071	"Seine-Maritime"	"Bureaux"	2012	"Beton"	1.28
"1036"	27076	"Oise"	"Enseignement"	2012	"Terre cuite"	0.51
"1037"	27684	"Vendee"	"Etablissement sanitaire"	2011	"Brique"	0.45
"1042"	28747	"Rhone"	"Enseignement"	2012	"Beton"	1.29
"1043"	28748	"Rhone"	"Enseignement"	2012	"Beton"	2.65
"1044"	28749	"Rhone"	"Enseignement"	2012	"Beton"	2.62
"1047"	29150	"Haut-Rhin"	"Salle polyvalente"	2013	"Brique"	0.57
"1054"	29271	"Yonne"	"Bureaux"	2012	"Acier"	0.755
"1060"	29795	"Aude"	"Enseignement"	2010	"Brique"	3.389545116
"1061"	29796	"Aude"	"Enseignement"	2010	"Brique"	4.174226273
"1062"	29800	"Aude"	"Enseignement"	2012	"Beton"	0.385939438
"1064"	29803	"Aude"	"Enseignement"	2012	"Beton"	0.459753872
"1065"	29808	"Aude"	"Salle polyvalente"	2013	"Pierre"	1.756449759
"1066"	29810	"Aude"	"Bureaux"	2013	"Beton"	1.554571089
"1068"	29930	"Calvados"	"Bureaux"	2012	"Bois"	1.241143241
"1070"	29991	"Non precise"	"Bureaux"	2012	"Bois"	0.74
"1072"	30012	"Pas-de-Calais"	"Enseignement"	2012	"Brique"	1.055853
"1073"	30013	"Pas-de-Calais"	"Enseignement"	2012	"Brique"	0.201653
"1074"	30019	"Nord"	"Bureaux"	2012	"Acier"	1.365598
"1076"	30025	"Nord"	"Bureaux"	2012	"Acier"	2.967791
"1078"	30147	"Seine-Maritime"	"Bureaux"	2012	"Mixte Beton-Bois"	0.76
"1079"	30152	"Eure-et-Loir"	"Salle polyvalente"	2012	"Mixte Beton-Bois"	2.71
"1080"	30156	"Val-Doise"	"Industrie"	2012	"Bois"	0.78
"1081"	30177	"Calvados"	"Etablissement sanitaire"	2012	"Beton"	0.2
"1082"	30178	"Manche"	"Etablissement sanitaire"	2012	"Beton cellulaire"	0.6
"1083"	30179	"Val-Doise"	"Etablissement sanitaire"	2012	"Beton"	1.19
"1084"	30522	"Loire-Atlantique"	"Salle polyvalente"	2012	"Beton"	2.14
"1090"	31710	"Rhone"	"Etablissement sanitaire"	2012	"Mixte Acier-Beton"	0.11
"1093"	32813	"Non precise"	"Enseignement"	2013	"Brique"	0.936673429
"1094"	32814	"Non precise"	"Salle polyvalente"	2012	"Bois"	0.735641974
"1105"	32923	"Non precise"	"Bureaux"	2013	"Beton"	0.91191437
"1107"	32934	"Non precise"	"Enseignement"	2013	"Bois"	0.456744742
"1110"	32948	"Non precise"	"Enseignement"	2013	"Bois"	0.863442599
"1111"	32949	"Non precise"	"Bureaux"	2013	"Beton"	1.14254875
"1118"	33084	"Vendee"	"Locaux sportifs"	2012	"Beton"	1.143653
"1120"	33096	"Vendee"	"Commerce"	2013	"Beton"	0.630835
"1122"	33118	"Non precise"	"Enseignement"	2013	"Bois"	0.893954564
"1123"	33126	"Non precise"	"Bureaux"	2013	"Beton"	0.995034848
"1124"	33127	"Non precise"	"Bureaux"	2013	"Beton"	0.473036205
"1126"	33183	"Vendee"	"Enseignement"	2013	"Brique"	0.311983
"1127"	33190	"Saone-et-Loire"	"Bureaux"	2010	"Mixte Acier-Beton"	2.78
"1128"	33221	"Bas-Rhin"	"Bureaux"	2013	"Pierre"	1.78
"1130"	33358	"Territoire-de-Belfort"	"Bureaux"	2013	"Beton"	2.2
"1131"	33408	"Sarthe"	"Salle polyvalente"	2013	"Bois"	1.073989
"1132"	33540	"Pyrenees-Atlantiques"	"Enseignement"	2013	"Bois"	0.182
"1133"	33647	"Jura"	"Salle polyvalente"	2012	"Beton cellulaire"	0.85
"1134"	33648	"Ain"	"Restaurant"	2013	"Bois"	1.6
"1135"	33650	"Doubs"	"Enseignement"	2012	"Beton"	0.86
"1136"	33655	"Jura"	"Etablissement sanitaire"	2013	"Autre"	0.74
"1138"	33666	"Rhone"	"Enseignement"	2013	"Beton"	0.55
"1139"	33667	"Rhone"	"Enseignement"	2013	"Beton"	0.61
"1140"	33668	"Rhone"	"Enseignement"	2013	"Beton"	0.38
"1141"	33669	"Yvelines"	"Salle polyvalente"	2013	"Mixte Acier-Beton"	1
"1142"	33690	"Rhone"	"Restaurant"	2013	"Beton"	0.98
"1143"	33691	"Rhone"	"Enseignement"	2013	"Bois"	1.19
"1144"	33711	"Jura"	"Bureaux"	2013	"Brique"	0.35
"1145"	33720	"Isere"	"Enseignement"	2013	"Pierre"	5.17
"1148"	33723	"Rhone"	"Enseignement"	2013	"Bois"	0.61
"1149"	33724	"Yvelines"	"Salle polyvalente"	2013	"Mixte Acier-Beton"	1.32
"1154"	33738	"Haute-Saone"	"Bureaux"	2013	"Beton"	1.3
"1162"	33757	"Doubs"	"Etablissement sanitaire"	2013	"Mixte Beton-Bois"	1.28
"1165"	33769	"Haute-Marne"	"Enseignement"	2013	"Pierre"	1.01
"1169"	33935	"Somme"	"Restaurant"	2012	"Acier"	1.46
"1170"	33938	"Somme"	"Bureaux"	2012	"Acier"	0.77
"1173"	33943	"Somme"	"Commerce"	2012	"Bois"	1.38
"1174"	33944	"Nord"	"Bureaux"	2012	"Acier"	12.76
"1175"	33945	"Nord"	"Bureaux"	2012	"Acier"	19.68
"1176"	33946	"Val-Doise"	"Restaurant"	2012	"Beton"	0.61
"1178"	33966	"Aisne"	"Restaurant"	2012	"Beton"	2.55
"1179"	33967	"Aisne"	"Enseignement"	2012	"Beton"	1.12
"1180"	33968	"Aisne"	"Restaurant"	2012	"Beton"	1.17
"1182"	33988	"Val-Doise"	"Restaurant"	2013	"Beton"	1.44
"1184"	34009	"Oise"	"Restaurant"	2013	"Bois"	2.79
"1185"	34010	"Oise"	"Enseignement"	2013	"Bois"	5.6
"1187"	34012	"Somme"	"Bureaux"	2013	"Autre"	0.91
"1189"	34015	"Oise"	"Restaurant"	2013	"Bois"	2.89
"1195"	34122	"Haut-Rhin"	"Enseignement"	2013	"Bois"	1.04
"1196"	34123	"Haut-Rhin"	"Salle polyvalente"	2013	"Bois"	0.64
"1199"	34127	"Haut-Rhin"	"Salle polyvalente"	2013	"Bois"	0.58
"1205"	34156	"Rhone"	"Enseignement"	2013	"Beton"	1.168
"1207"	34198	"Aube"	"Locaux sportifs"	2013	"Brique"	0.43
"1208"	34199	"Vosges"	"Enseignement"	2013	"Beton"	0.8
"1209"	34233	"Vosges"	"Bureaux"	2013	"Beton"	0.160941311
"1212"	34301	"Non precise"	"Enseignement"	2013	"Mixte Beton-Bois"	0.162838793
"1213"	34302	"Non precise"	"Bureaux"	2013	"Mixte Beton-Bois"	0.352
"1214"	34309	"Nord"	"Bureaux"	2012	"Beton"	1.381857
"1215"	34322	"Nord"	"Bureaux"	2012	"Beton"	1.33963
"1217"	34357	"Nord"	"Enseignement"	2013	"Bois"	0.215551
"1219"	34374	"Nord"	"Bureaux"	2012	"Bois"	0.96015
"1220"	34378	"Pas-de-Calais"	"Bureaux"	2013	"Beton"	0.445955
"1229"	34520	"Bas-Rhin"	"Bureaux"	2011	"Acier"	4.339325796
"1232"	34554	"Bas-Rhin"	"Enseignement"	2013	"Beton"	2.722986509
"1233"	34555	"Alpes-Maritimes"	"Enseignement"	2013	"Beton"	7.30756898
"1234"	34556	"Bas-Rhin"	"Bureaux"	2013	"Beton"	1.037999756
"1235"	34562	"Bas-Rhin"	"Enseignement"	2013	"Acier"	0.879207913
"1238"	34662	"Bas-Rhin"	"Enseignement"	2013	"Bois"	0.99
"1239"	34663	"Bas-Rhin"	"Enseignement"	2013	"Beton"	0.809002599
"1241"	34685	"Bas-Rhin"	"Enseignement"	2013	"Beton"	1.091009658
"1249"	34815	"Charente-Maritime"	"Enseignement"	2013	"Beton"	0.62
"1250"	34891	"Deux-Sevres"	"Etablissement sanitaire"	2014	"Bois"	0.355691
"1251"	34906	"Non precise"	"Enseignement"	2013	"Beton"	1.086
"1252"	34907	"Manche"	"Bureaux"	2013	"Brique"	0.208
"1253"	34908	"Manche"	"Bureaux"	2013	"Brique"	0.882
"1254"	34909	"Manche"	"Bureaux"	2013	"Beton"	0.722
"1255"	34913	"Manche"	"Restaurant"	2013	"Bois"	0.494
"1256"	34914	"Manche"	"Enseignement"	2013	"Brique"	0.421
"1257"	34918	"Manche"	"Etablissement sanitaire"	2013	"Mixte Beton-Bois"	0.925
"1258"	34961	"Oise"	"Restaurant"	2013	"Terre cuite"	1.139097
"1261"	35060	"Sarthe"	"Enseignement"	2013	"Beton"	0.6643
"1263"	35064	"Sarthe"	"Bureaux"	2013	"Brique"	1.4849
"1264"	35117	"Vienne"	"Salle polyvalente"	2013	"Bois"	2.61
"1272"	35887	"Puy-de-Dome"	"Etablissement sanitaire"	2013	"Bois"	0.535907
"1273"	35908	"Puy-de-Dome"	"Bureaux"	2013	"Beton"	0.391067
"1277"	35988	"Haute-Vienne"	"Enseignement"	2013	"Bois"	0.36
"1278"	36012	"Creuse"	"Bureaux"	2013	"Mixte Beton-Bois"	1.28
"1279"	36013	"Charente"	"Etablissement sanitaire"	2013	"Beton"	1.51
"1282"	36143	"Ille-et-Vilaine"	"Salle polyvalente"	2013	"Bois"	1.07
"1283"	36148	"Ille-et-Vilaine"	"Bureaux"	2013	"Bois"	0.36
"1287"	36286	"Morbihan"	"Bureaux"	2013	"Beton"	0.32
"1288"	36293	"Finistere"	"Bureaux"	2012	"Bois"	1.55
"1289"	36498	"Drome"	"Enseignement"	2013	"Mixte Beton-Bois"	0.26
"1290"	36762	"Vendee"	"Bureaux"	2013	"Beton"	0.665
"1291"	37042	"Non precise"	"Etablissement sanitaire"	2013	"Beton"	0.43
"1292"	37043	"Non precise"	"Etablissement sanitaire"	2013	"Beton"	1.29
"1294"	37059	"Marne"	"Enseignement"	2013	"Bois"	0.39
"1295"	37060	"Marne"	"Enseignement"	2013	"Bois"	0.37
"1296"	37061	"Marne"	"Enseignement"	2013	"Bois"	1.67
"1297"	37079	"Hautes-Alpes"	"Bureaux"	2014	"Beton"	0.36
"1298"	37085	"Non precise"	"Enseignement"	2014	"Beton"	1.39
"1299"	37122	"Non precise"	"Enseignement"	2013	"Beton"	1.41
"1300"	37132	"Non precise"	"Enseignement"	2012	"Beton"	0.46
"1301"	37136	"Non precise"	"Bureaux"	2013	"Mixte Acier-Beton"	1.08
"1302"	37142	"Non precise"	"Enseignement"	2012	"Beton"	0.63
"1303"	37149	"Non precise"	"Enseignement"	2012	"Beton"	1.07
"1304"	37153	"Non precise"	"Industrie"	2013	"Beton"	0.21
"1305"	37163	"Non precise"	"Salle polyvalente"	2012	"Beton"	0.63
"1306"	37165	"Non precise"	"Etablissement sanitaire"	2013	"Beton"	0.31
"1307"	37302	"Gironde"	"Enseignement"	2013	"Bois"	0.336845257
"1313"	37419	"Finistere"	"Bureaux"	2012	"Bois"	1.04
"1316"	37608	"Ille-et-Vilaine"	"Salle polyvalente"	2014	"Beton"	0.89
"1317"	37676	"Non precise"	"Salle polyvalente"	2013	"Bois"	1
"1318"	37691	"Saone-et-Loire"	"Salle polyvalente"	2013	"Bois"	0.368
"1319"	37697	"Isere"	"Enseignement"	2013	"Beton"	0.63
"1320"	37699	"Non precise"	"Salle polyvalente"	2013	"Beton"	0.214
"1321"	37700	"Rhone"	"Enseignement"	2013	"Beton"	1.168
"1323"	37716	"Rhone"	"Salle polyvalente"	2013	"Beton"	1.088
"1326"	37727	"Isere"	"Bureaux"	2013	"Beton"	0.764
"1329"	37742	"Non precise"	"Enseignement"	2013	"Beton"	0.184
"1330"	37743	"Non precise"	"Enseignement"	2013	"Beton"	1.018
"1331"	37747	"Isere"	"Enseignement"	2013	"Beton"	0.856
"1332"	37749	"Isere"	"Enseignement"	2013	"Beton"	2.097
"1333"	37768	"Non precise"	"Enseignement"	2013	"Bois"	0.41
"1334"	37904	"Non precise"	"Bureaux"	2013	"Beton"	2.738697288
"1335"	37907	"Non precise"	"Bureaux"	2013	"Bois"	2.085327827
"1336"	37909	"Non precise"	"Enseignement"	2012	"Beton"	0.226526979
"1337"	37923	"Non precise"	"Bureaux"	2013	"Bois"	0.054794554
"1338"	37924	"Non precise"	"Bureaux"	2013	"Bois"	1.500956717
"1339"	37925	"Non precise"	"Bureaux"	2013	"Bois"	0.923416457
"1342"	37970	"Rhone"	"Enseignement"	2012	"Beton"	3.35
"1343"	37971	"Non precise"	"Enseignement"	2012	"Bois"	0.23
"1345"	37997	"Loire"	"Enseignement"	2012	"Beton"	1.09
"1346"	38009	"Isere"	"Bureaux"	2013	"Beton"	0.57
"1347"	38014	"Loire"	"Bureaux"	2013	"Beton"	0.22
"1348"	38025	"Isere"	"Bureaux"	2013	"Acier"	1.81
"1349"	38031	"Loire"	"Enseignement"	2012	"Bois"	0.73
"1351"	38055	"Puy-de-Dome"	"Bureaux"	2012	"Beton"	1.74
"1352"	38058	"Rhone"	"Hotel"	2013	"Beton"	2.24
"1355"	38080	"Loire"	"Salle polyvalente"	2013	"Beton"	0.76
"1358"	38113	"Loire"	"Bureaux"	2012	"Bois"	0.55
"1360"	38134	"Loire"	"Restaurant"	2012	"Bois"	0.923086703
"1361"	38244	"Loire-Atlantique"	"Bureaux"	2013	"Acier"	0.42
"1362"	38259	"Loire-Atlantique"	"Enseignement"	2013	"Acier"	0.32
"1363"	38260	"Loire-Atlantique"	"Enseignement"	2013	"Acier"	0.36
"1364"	38273	"Vendee"	"Etablissement sanitaire"	2013	"Beton"	0.72
"1366"	38304	"Drome"	"Bureaux"	2013	"Paille"	0.15
"1367"	38310	"Isere"	"Locaux sportifs"	2013	"Beton"	1.13
"1369"	38368	"Ardeche"	"Etablissement sanitaire"	2013	"Terre cuite"	0.301834
"1374"	38407	"Ardeche"	"Bureaux"	2013	"Beton"	0.950803
"1377"	38502	"Non precise"	"Salle polyvalente"	2013	"Beton"	0.272833091
"1378"	38503	"Non precise"	"Bureaux"	2013	"Beton"	0.628295277
"1379"	38545	"Gironde"	"Etablissement sanitaire"	2013	"Beton"	1.5
"1380"	38567	"Haute-Garonne"	"Enseignement"	2013	"Brique"	0.44
"1381"	38580	"Gironde"	"Etablissement sanitaire"	2013	"Beton"	1.69
"1382"	38600	"Isere"	"Enseignement"	2013	"Bois"	0.73
"1386"	38834	"Cotes-Darmor"	"Bureaux"	2013	"Beton"	0.52
"1388"	38838	"Oise"	"Enseignement"	2013	"Beton"	0.61
"1389"	38840	"Non precise"	"Bureaux"	2013	"Beton"	0.61
"1390"	38842	"Bas-Rhin"	"Salle polyvalente"	2013	"Beton"	0.45
"1391"	38843	"Bas-Rhin"	"Enseignement"	2013	"Beton"	0.16
"1392"	38844	"Bas-Rhin"	"Enseignement"	2013	"Beton"	0.58
"1393"	38845	"Bas-Rhin"	"Bureaux"	2013	"Beton"	1.01
"1394"	38847	"Haut-Rhin"	"Bureaux"	2013	"Brique"	0.48
"1395"	38852	"Bas-Rhin"	"Locaux sportifs"	2014	"Bois"	0.75
"1396"	38862	"Saone-et-Loire"	"Salle polyvalente"	2013	"Beton"	0.25
"1397"	38863	"Saone-et-Loire"	"Enseignement"	2013	"Beton"	0.33
"1398"	38864	"Saone-et-Loire"	"Salle polyvalente"	2013	"Brique"	0.27
"1401"	38900	"Isere"	"Enseignement"	2013	"Bois"	0.52
"1402"	38903	"Isere"	"Enseignement"	2013	"Beton"	0.98
"1405"	39073	"Deux-Sevres"	"Bureaux"	2013	"Brique"	0.855
"1406"	39096	"Non precise"	"Enseignement"	2013	"Bois"	0.81
"1408"	39151	"Non precise"	"Enseignement"	2013	"Bois"	0.94
"1411"	39354	"Paris"	"Enseignement"	2013	"Beton"	1.07
"1413"	39456	"Seine-Saint-Denis"	"Bureaux"	2012	"Beton"	0.16
"1414"	39462	"Aisne"	"Bureaux"	2012	"Brique"	0.95
"1416"	39492	"Aisne"	"Bureaux"	2012	"Beton"	0.57
"1417"	39516	"Aisne"	"Enseignement"	2013	"Beton"	1.48
"1419"	39622	"Ain"	"Enseignement"	2013	"Beton"	0.33
"1420"	39623	"Ain"	"Enseignement"	2013	"Beton"	1.56
"1421"	39707	"Doubs"	"Bureaux"	2013	"Beton"	3.76
